Generated by http://opendatacommunities.org,2017-03-10T12:49:07+00:00
http://opendatacommunities.org/data/labour-force/unemployment/claimant-rate/by-age,"Claimant Count and JSA - Claimant rate, England, by District, LEP"
Reference period,2017 Jan
Measure (cell values): ,Claimant rate (%)(Percent)

,,http://opendatacommunities.org/def/concept/general-concepts/byage/1664
http://opendatacommunities.org/id/geography/administration/nmd/E07000203,Mid Suffolk E07000203,0.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000228,Mid Sussex E07000228,0.5
http://opendatacommunities.org/id/geography/administration/nmd/E07000210,Mole Valley E07000210,0.5
http://opendatacommunities.org/id/geography/administration/nmd/E07000091,New Forest E07000091,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000175,Newark and Sherwood E07000175,1.3
http://opendatacommunities.org/id/geography/administration/md/E08000021,Newcastle upon Tyne E08000021,2.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000195,Newcastle-under-Lyme E07000195,1.2
http://opendatacommunities.org/id/geography/administration/lonb/E09000025,Newham E09000025,1.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000043,North Devon E07000043,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000050,North Dorset E07000050,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000038,North East Derbyshire E07000038,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000099,North Hertfordshire E07000099,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000139,North Kesteven E07000139,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000147,North Norfolk E07000147,1
http://opendatacommunities.org/id/geography/administration/md/E08000022,North Tyneside E08000022,2.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000218,North Warwickshire E07000218,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000134,North West Leicestershire E07000134,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000154,Northampton E07000154,1.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000148,Norwich E07000148,1.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,Nuneaton and Bedworth E07000219,1.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000135,Oadby and Wigston E07000135,0.9
http://opendatacommunities.org/id/geography/administration/md/E08000004,Oldham E08000004,2.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,Oxford E07000178,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000122,Pendle E07000122,2
http://opendatacommunities.org/id/geography/administration/nmd/E07000123,Preston E07000123,2.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000051,Purbeck E07000051,0.8
http://opendatacommunities.org/id/geography/administration/lonb/E09000026,Redbridge E09000026,1.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000236,Redditch E07000236,1.6
